District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated
174,UTTAR PRADESH,Kaushambi,1599596,838485,761111,813424,507279,306145,639086,402644,236442,415312,223774,960510,141102,321410,30491,146083,1372381,220423,2225,522,687,545,3,2810
175,UTTAR PRADESH,Allahabad,5954391,3131807,2822584,3665727,2199340,1466387,2111907,1426110,685797,1286732,825175,3842484,474283,541146,185877,910601,5102041,796756,13782,4377,4391,2247,305,30492
176,UTTAR PRADESH,Bara Banki,3260699,1707073,1553626,1692458,1010518,681940,1192850,871241,321609,834294,358556,2067849,458479,421973,77235,235163,2505444,737106,4857,2090,1553,3016,211,6422
177,UTTAR PRADESH,Faizabad,2470996,1259628,1211368,1450901,838339,612562,831209,597888,233321,496579,334630,1639787,260406,272734,43505,254564,2094271,365806,3225,1912,737,358,185,4502
178,UTTAR PRADESH,Ambedkar Nagar,2397888,1212410,1185478,1486939,846676,640263,787398,547406,239992,440998,346400,1610490,213814,301120,58520,213944,1985654,401678,2536,869,1817,235,33,5066
179,UTTAR PRADESH,Sultanpur,3797117,1914586,1882531,2239902,1300248,939654,1242632,869838,372794,690967,551665,2554485,338890,501634,85785,316323,3119590,650261,4453,1629,9989,426,336,10433
180,UTTAR PRADESH,Bahraich,3487731,1843884,1643847,1398368,878285,520083,1152160,895576,256584,743452,408708,2335571,430227,482897,37965,201071,2291892,1169330,6400,8212,2793,1177,38,7889
181,UTTAR PRADESH,Shrawasti,1117361,593897,523464,423313,276700,146613,403755,293981,109774,232762,170993,713606,163449,165118,18494,56694,768643,343981,1427,407,323,68,56,2456
182,UTTAR PRADESH,Balrampur,2148665,1114721,1033944,868357,544943,323414,760253,534332,225921,458727,301526,1388412,276614,328768,29916,124955,1333242,805975,3228,900,1866,198,87,3169
183,UTTAR PRADESH,Gonda,3433919,1787146,1646773,1679994,1034181,645813,1170552,855848,314704,739663,430889,2263367,440340,431532,65299,233381,2739076,678615,4735,1893,649,338,57,8556
184,UTTAR PRADESH,Siddharthnagar,2559297,1295095,1264202,1228926,740718,488208,878898,583633,295265,447943,430955,1680399,298360,395993,35756,148789,1789704,748073,3042,681,11964,179,356,5298
185,UTTAR PRADESH,Basti,2464464,1255272,1209192,1393783,819719,574064,783688,558642,225046,443724,339964,1680776,296928,282260,36856,167644,2082976,364510,3493,900,9753,107,99,2626
